date,time,pm2_5,level,co,source,o3,pm10,aqi,so2,no2,city
2015-10-01,2018-06-13 07:22:52.279298,36,良,0.6,aqispider,119,110,80,17,33,蚌埠
2015-10-02,2018-06-13 07:23:22.433208,90,轻度污染,1,aqispider,136,193,122,22,41,蚌埠
2015-11-01,2018-06-13 07:23:52.510086,140,中度污染,1.1,aqispider,117,188,186,36,58,蚌埠
2015-10-03,2018-06-13 07:24:22.607419,77,轻度污染,0.9,aqispider,137,157,104,23,35,蚌埠
2015-11-02,2018-06-13 07:24:26.684692,124,中度污染,1.1,aqispider,97,189,163,35,58,蚌埠
2015-11-03,2018-06-13 07:24:26.687853,88,轻度污染,0.9,aqispider,120,117,117,35,35,蚌埠
2015-10-04,2018-06-13 07:24:26.719337,80,轻度污染,0.9,aqispider,106,130,107,28,34,蚌埠
2015-10-05,2018-06-13 07:24:26.723155,72,良,0.9,aqispider,126,104,97,22,28,蚌埠
2015-10-06,2018-06-13 07:24:26.726718,64,良,1,aqispider,107,90,87,25,32,蚌埠
2015-11-04,2018-06-13 07:24:26.745837,134,中度污染,1.2,aqispider,91,167,178,36,53,蚌埠
2015-11-05,2018-06-13 07:24:26.753094,123,中度污染,1.2,aqispider,88,158,162,37,38,蚌埠
2015-10-07,2018-06-13 07:24:26.762165,22,优,0.6,aqispider,88,27,44,19,24,蚌埠
2015-10-08,2018-06-13 07:24:26.764464,32,良,0.6,aqispider,104,47,54,16,25,蚌埠
2015-10-09,2018-06-13 07:24:26.768676,57,良,0.7,aqispider,109,105,78,30,31,蚌埠
2015-11-06,2018-06-13 07:24:26.776895,65,良,1.1,aqispider,51,91,88,26,33,蚌埠
2015-11-07,2018-06-13 07:24:26.778552,38,良,1.1,aqispider,37,44,54,23,31,蚌埠
2015-11-08,2018-06-13 07:24:26.780513,65,良,1.2,aqispider,50,79,88,22,30,蚌埠
2015-11-09,2018-06-13 07:24:26.782316,81,轻度污染,1.1,aqispider,75,93,108,22,30,蚌埠
2015-11-10,2018-06-13 07:24:26.783932,93,轻度污染,1.2,aqispider,82,108,123,30,38,蚌埠
2015-11-11,2018-06-13 07:24:26.785325,65,良,0.7,aqispider,84,79,88,23,36,蚌埠
2015-11-12,2018-06-13 07:24:26.786861,71,良,0.9,aqispider,61,91,95,28,31,蚌埠
2015-10-10,2018-06-13 07:24:26.788269,59,良,0.7,aqispider,117,103,80,27,31,蚌埠
2015-10-11,2018-06-13 07:24:26.789729,75,良,0.8,aqispider,124,122,100,30,44,蚌埠
2015-10-12,2018-06-13 07:24:26.800833,126,中度污染,1.1,aqispider,142,194,166,29,60,蚌埠
