no2,city,level,time,source,co,pm2_5,pm10,o3,date,aqi,so2
33,蚌埠,良,2018-06-13 01:59:39.926635,aqispider,0.6,36,110,119,2015-10-01,80,17
41,蚌埠,轻度污染,2018-06-13 01:59:39.945517,aqispider,1,90,193,136,2015-10-02,122,22
35,蚌埠,轻度污染,2018-06-13 01:59:39.950498,aqispider,0.9,77,157,137,2015-10-03,104,23
34,蚌埠,轻度污染,2018-06-13 01:59:39.952181,aqispider,0.9,80,130,106,2015-10-04,107,28
28,蚌埠,良,2018-06-13 01:59:39.954333,aqispider,0.9,72,104,126,2015-10-05,97,22
32,蚌埠,良,2018-06-13 01:59:39.971548,aqispider,1,64,90,107,2015-10-06,87,25
24,蚌埠,优,2018-06-13 01:59:39.981311,aqispider,0.6,22,27,88,2015-10-07,44,19
25,蚌埠,良,2018-06-13 01:59:39.983085,aqispider,0.6,32,47,104,2015-10-08,54,16
31,蚌埠,良,2018-06-13 01:59:39.985789,aqispider,0.7,57,105,109,2015-10-09,78,30
31,蚌埠,良,2018-06-13 01:59:39.991802,aqispider,0.7,59,103,117,2015-10-10,80,27
44,蚌埠,良,2018-06-13 01:59:39.995493,aqispider,0.8,75,122,124,2015-10-11,100,30
60,蚌埠,中度污染,2018-06-13 01:59:39.999161,aqispider,1.1,126,194,142,2015-10-12,166,29
55,蚌埠,轻度污染,2018-06-13 01:59:40.001150,aqispider,1,84,147,168,2015-10-13,112,31
45,蚌埠,轻度污染,2018-06-13 01:59:40.003834,aqispider,1,73,119,170,2015-10-14,110,31
50,蚌埠,中度污染,2018-06-13 01:59:40.015484,aqispider,1.3,129,179,167,2015-10-15,170,39
70,蚌埠,重度污染,2018-06-13 01:59:40.029030,aqispider,1.6,183,233,188,2015-10-16,233,47
58,蚌埠,中度污染,2018-06-13 01:59:40.037714,aqispider,1.1,140,188,117,2015-11-01,186,36
58,蚌埠,中度污染,2018-06-13 01:59:40.052133,aqispider,1.1,124,189,97,2015-11-02,163,35
